language,country-code,geoId,name,local-name,trimmed-name,is-exclude
vi,VN,30016018,But Son Township,Thị trấn Bút Sơn,Bút Sơn,FALSE
vi,VN,30014878,An Tuong Commune,Xã An Tường,An Tường,FALSE
vi,VN,30014880,Thai Long Commune,Xã Thái Long,Thái Long,FALSE
vi,VN,30014877,An Khang Commune,Xã An Khang,An Khang,FALSE
vi,VN,30014881,Trang Da Commune,Xã Trang Đà,Trang Đà,FALSE
vi,VN,30014882,Doi Can Commune,Xã Đội Cấn,Đội Cấn,FALSE
vi,VN,30014879,Luong Vuong Commune,Xã Lưỡng Vượng,Lưỡng Vượng,FALSE
vi,VN,10010595,Sam Son Town,Thị xã Sầm Sơn,Sầm Sơn,FALSE
vi,VN,30014612,Minh Ngoc Commune,Xã Minh Ngọc,Minh Ngọc,FALSE
vi,VN,30014616,Yen Cuong Commune,Xã Yên Cường,Yên Cường,FALSE
vi,VN,30014617,Thuong Tan Commune,Xã Thượng Tân,Thượng Tân,FALSE
vi,VN,30014619,Duong Hong Commune,Xã Đường Hồng,Đường Hồng,FALSE
vi,VN,30014609,Minh Son Commune,Xã Minh Sơn,Minh Sơn,FALSE
vi,VN,30014615,Phu Nam Commune,Xã Phú Nam,Phú Nam,FALSE
vi,VN,30014618,Duong Am Commune,Xã Đường Âm,Đường Âm,FALSE
vi,VN,30014614,Lac Nong Commune,Xã Lạc Nông,Lạc Nông,FALSE
vi,VN,30014611,Yen Dinh Commune,Xã Yên Định,Yên Định,FALSE
vi,VN,30014610,Giap Trung Commune,Xã Giáp Trung,Giáp Trung,FALSE
vi,VN,30014620,Phieng Luong Commune,Xã Phiêng Luông,Phiêng Luông,FALSE
vi,VN,30014613,Yen Phong Commune,Xã Yên Phong,Yên Phong,FALSE
vi,VN,10011564,Uong Bi City,Thành phố Uông Bí,Uông Bí,FALSE
vi,VN,30010278,Ha Long City,Thành phố Hạ Long,Hạ Long,FALSE
vi,VN,30014623,Dong Tien Commune,Xã Đồng Tiến,Đồng Tiến,FALSE
vi,VN,30014630,Viet Vinh Commune,Xã Việt Vinh,Việt Vinh,FALSE
vi,VN,30014642,Hung An Commune,Xã Hùng An,Hùng An,FALSE
vi,VN,30014625,Tan Quang Commune,Xã Tân Quang,Tân Quang,FALSE
vi,VN,30014640,Vo Diem Commune,Xã Vô Điếm,Vô Điếm,FALSE
vi,VN,30014629,Kim Ngoc Commune,Xã Kim Ngọc,Kim Ngọc,FALSE
vi,VN,30014647,Dong Yen Commune,Xã Đồng Yên,Đồng Yên,FALSE
vi,VN,30014632,Bang Hanh Commune,Xã Bằng Hành,Bằng Hành,FALSE
vi,VN,30014644,Tien Kieu Commune,Xã Tiên Kiều,Tiên Kiều,FALSE
vi,VN,30014627,Thuong Binh Commune,Xã Thượng Bình,Thượng Bình,FALSE
vi,VN,30014641,Viet Hong Commune,Xã Việt Hồng,Việt Hồng,FALSE
